count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,count_point_vehicles_id
37078,W,2005,20/06/2005,14,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,2,8,507,17,69,3,5,0,2,1,1,12,613,1
37078,W,2005,20/06/2005,15,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,3,10,587,12,53,9,1,0,2,0,3,15,677,2
37078,W,2005,20/06/2005,16,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,2,10,574,15,40,5,1,0,1,0,0,7,646,3
37078,W,2005,20/06/2005,17,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,0,16,576,10,42,2,0,0,0,1,0,3,647,4
37078,W,2005,20/06/2005,18,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,0,8,429,13,30,0,0,0,1,1,1,3,483,5
37078,E,2005,20/06/2005,7,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,2,10,211,9,41,2,2,0,0,0,1,5,276,6
37078,E,2005,20/06/2005,8,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,4,6,482,8,68,14,1,2,2,0,0,19,583,7
37078,E,2005,20/06/2005,9,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,1,7,507,13,77,19,2,2,1,0,1,25,629,8
37078,E,2005,20/06/2005,10,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,3,9,601,17,72,12,2,0,1,0,2,17,716,9
37078,E,2005,20/06/2005,11,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,1,4,574,14,65,20,2,0,0,1,2,25,682,10
37078,E,2005,20/06/2005,12,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,3,10,532,15,64,9,1,1,0,1,5,17,638,11
37078,E,2005,20/06/2005,13,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,1,10,512,16,66,9,1,0,5,1,2,18,622,12
37078,E,2005,20/06/2005,14,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,3,11,515,12,51,6,3,0,0,0,3,12,601,13
37078,E,2005,20/06/2005,15,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,6,24,666,17,60,5,1,0,0,0,3,9,776,14
37078,E,2005,20/06/2005,16,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,2,20,593,18,73,2,1,0,0,0,1,4,708,15
37078,E,2005,20/06/2005,17,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,10,16,536,13,48,3,0,0,0,0,0,3,616,16
37078,E,2005,20/06/2005,18,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,2,8,496,11,32,0,0,0,1,0,0,1,548,17
37078,W,2005,20/06/2005,7,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,3,13,307,8,54,4,1,0,2,0,0,7,389,18
37078,W,2005,20/06/2005,8,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,0,7,442,7,78,4,2,1,2,0,0,9,543,19
37078,W,2005,20/06/2005,9,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,0,4,412,11,79,9,0,0,1,0,1,11,517,20
37078,W,2005,20/06/2005,10,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,1,1,433,15,53,11,2,2,2,0,2,19,521,21
37078,W,2005,20/06/2005,11,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,0,1,501,14,55,14,1,0,2,0,2,19,590,22
37078,W,2005,20/06/2005,12,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,1,8,467,15,55,11,1,1,0,1,4,18,563,23
37078,W,2005,20/06/2005,13,1,South West,184,Torbay,A3022,Major,A380/A385,A3022 Commercial Rd,287600,60000,50.42906575,-3.5838377,1.7,1.06,1,12,471,12,47,7,3,0,0,0,2,12,554,24
38388,N,2005,28/04/2005,7,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,8,8,349,4,76,11,0,0,0,0,0,11,448,25
38388,N,2005,28/04/2005,8,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,4,4,630,5,58,8,1,0,0,0,0,9,706,26
38388,N,2005,28/04/2005,9,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,0,7,439,13,73,18,3,1,0,0,0,22,554,27
38388,N,2005,28/04/2005,10,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,1,4,412,8,51,20,3,0,0,0,0,23,498,28
38388,N,2005,28/04/2005,11,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,1,5,404,1,52,20,0,0,0,0,0,20,482,29
38388,N,2005,28/04/2005,12,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,0,3,396,1,57,23,3,0,0,0,0,26,483,30
38388,N,2005,28/04/2005,13,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,3,5,462,3,50,16,2,0,1,2,0,21,541,31
38388,N,2005,28/04/2005,14,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,2,12,523,2,45,19,0,0,2,0,1,22,604,32
38388,N,2005,28/04/2005,15,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,4,1,496,4,57,15,1,1,0,0,0,17,575,33
38388,N,2005,28/04/2005,16,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,6,5,586,9,60,10,1,0,0,0,0,11,671,34
38388,N,2005,28/04/2005,17,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,5,11,538,4,54,5,0,0,0,1,0,6,613,35
38388,N,2005,28/04/2005,18,1,South West,184,Torbay,A3022,Major,A3022 Avenue Rd,A3022 Torbay Rd,290580,63650,50.46244216,-3.54296561,0.6,0.37,5,6,388,4,33,3,1,0,1,0,0,5,436,36
47047,N,2005,11/10/2005,7,1,South West,184,Torbay,A3022,Major,A3022 Hyde Rd,A3022 Rathmore Rd,289000,61488,50.44270913,-3.56457595,3.6,2.24,18,9,328,15,82,6,2,3,4,0,0,15,449,37
47047,N,2005,11/10/2005,8,1,South West,184,Torbay,A3022,Major,A3022 Hyde Rd,A3022 Rathmore Rd,289000,61488,50.44270913,-3.56457595,3.6,2.24,6,11,332,17,66,10,0,4,5,2,0,21,447,38
47047,N,2005,11/10/2005,9,1,South West,184,Torbay,A3022,Major,A3022 Hyde Rd,A3022 Rathmore Rd,289000,61488,50.44270913,-3.56457595,3.6,2.24,3,11,343,13,61,14,4,6,1,0,1,26,454,39
